epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,159.661,0.55241,0.41925,1.04927,0.93999,0.92134,0.94843,0.74944,0.78633,0.51738,1.17404,0.000643101,0.000643101,0.000643101
43,163.959,0.57557,0.42132,1.06477,0.9649,0.88889,0.95478,0.74544,0.81089,0.5172,1.1753,0.000628101,0.000628101,0.000628101
44,167.629,0.54354,0.41726,1.05174,0.93342,0.91632,0.95969,0.77519,0.75648,0.49043,1.14425,0.000612981,0.000612981,0.000612981
45,171.218,0.56176,0.40596,1.06495,0.92572,0.91503,0.95731,0.76668,0.80408,0.55453,1.14733,0.000597754,0.000597754,0.000597754
46,174.876,0.54484,0.41714,1.04485,0.93396,0.93464,0.95795,0.75742,0.77531,0.49754,1.13723,0.000582435,0.000582435,0.000582435
47,178.729,0.56331,0.42176,1.04077,0.94695,0.91503,0.95423,0.75915,0.74292,0.51774,1.09593,0.00056704,0.00056704,0.00056704
48,182.588,0.53197,0.39311,1.04,0.92908,0.94182,0.95904,0.78313,0.75779,0.48562,1.1562,0.000551584,0.000551584,0.000551584
49,186.279,0.53564,0.3922,1.04838,0.96181,0.88889,0.95804,0.78045,0.7624,0.51817,1.13738,0.000536081,0.000536081,0.000536081
50,190.109,0.52472,0.37023,1.03964,0.91036,0.92928,0.94991,0.76085,0.80442,0.5399,1.15451,0.000520548,0.000520548,0.000520548
51,194.03,0.512,0.38,1.04692,0.93972,0.91706,0.95188,0.74654,0.8222,0.53316,1.18438,0.000505,0.000505,0.000505
52,197.991,0.5277,0.38736,1.02465,0.94667,0.93464,0.95141,0.77289,0.77656,0.4849,1.12631,0.000489452,0.000489452,0.000489452
53,201.862,0.52346,0.37379,1.05029,0.94737,0.94114,0.94809,0.75756,0.76719,0.49945,1.14073,0.000473919,0.000473919,0.000473919
54,205.591,0.55811,0.38869,1.02826,0.93448,0.92157,0.95311,0.77232,0.74413,0.51458,1.10191,0.000458416,0.000458416,0.000458416
55,209.245,0.50714,0.37295,1.0221,0.93432,0.9297,0.9527,0.78739,0.72144,0.50752,1.07575,0.00044296,0.00044296,0.00044296
56,212.845,0.52519,0.37104,1.04284,0.94612,0.9281,0.95609,0.78815,0.71885,0.48301,1.08831,0.000427565,0.000427565,0.000427565
57,216.453,0.48897,0.34989,1.03625,0.96007,0.94298,0.96882,0.78705,0.74547,0.45653,1.10855,0.000412246,0.000412246,0.000412246
58,220.162,0.4964,0.35298,1.02731,0.95993,0.93936,0.9676,0.79329,0.70892,0.44891,1.07508,0.000397019,0.000397019,0.000397019
59,223.889,0.49558,0.35989,1.04221,0.9859,0.91371,0.96368,0.78234,0.75508,0.48398,1.10457,0.000381899,0.000381899,0.000381899
60,227.604,0.49432,0.33547,1.00288,0.95342,0.93654,0.96813,0.78434,0.73075,0.49296,1.07737,0.000366899,0.000366899,0.000366899
61,231.137,0.49366,0.34174,1.01874,0.94647,0.91503,0.96035,0.79562,0.72569,0.50226,1.08255,0.000352037,0.000352037,0.000352037
62,234.793,0.47395,0.3336,1.0129,0.95613,0.94118,0.96859,0.79517,0.69617,0.4423,1.04526,0.000337325,0.000337325,0.000337325
63,238.4,0.51126,0.35493,1.02855,0.96934,0.94118,0.96907,0.79342,0.72651,0.43547,1.08533,0.000322778,0.000322778,0.000322778
64,242.092,0.48115,0.3371,0.99593,0.97128,0.94118,0.96818,0.80458,0.72358,0.46213,1.08295,0.000308412,0.000308412,0.000308412
65,245.698,0.46439,0.33461,1.00645,0.9666,0.94577,0.96742,0.80245,0.69523,0.43521,1.06249,0.000294239,0.000294239,0.000294239
66,249.347,0.46271,0.32455,1.00173,0.95358,0.95425,0.9682,0.79619,0.70326,0.43298,1.06077,0.000280275,0.000280275,0.000280275
67,252.999,0.46259,0.32145,1.01107,0.96793,0.9281,0.9652,0.79784,0.68845,0.43165,1.05811,0.000266532,0.000266532,0.000266532
68,256.718,0.46205,0.33306,0.99546,0.96334,0.92157,0.96294,0.79022,0.70248,0.44038,1.0755,0.000253024,0.000253024,0.000253024
69,260.395,0.47541,0.34228,1.00028,0.93207,0.94118,0.95945,0.79518,0.71786,0.44709,1.08176,0.000239766,0.000239766,0.000239766
70,264.003,0.46027,0.3316,1.00061,0.94666,0.92804,0.95777,0.79833,0.7228,0.43254,1.07871,0.000226769,0.000226769,0.000226769
71,267.633,0.44664,0.31017,0.98008,0.93268,0.93464,0.9553,0.79405,0.73099,0.43687,1.08379,0.000214046,0.000214046,0.000214046
72,271.366,0.47065,0.3221,0.98721,0.95313,0.93032,0.9609,0.79899,0.74397,0.44212,1.11679,0.000201611,0.000201611,0.000201611
