epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8356,0.98846,2.09808,1.4085,0.00415,0.45098,0.1921,0.13897,1.4071,3.24953,2.0316,0.07129,0.00029,0.00029
2,17.7012,0.85587,0.99012,1.28627,0.9592,0.15373,0.54813,0.3286,1.35473,2.87658,2.1202,0.0415899,0.000589856,0.000589856
3,23.4318,0.90486,0.93042,1.33039,0.72821,0.39216,0.50016,0.32456,1.41459,2.26648,2.01591,0.0118891,0.000889131,0.000889131
4,29.0894,0.84366,0.86051,1.28871,0.66293,0.56863,0.56903,0.38692,1.29718,1.5892,2.04665,0.000997803,0.000997803,0.000997803
5,34.4928,0.84251,0.77734,1.27992,0.74106,0.67339,0.72272,0.48639,1.258,1.47413,1.72635,0.000996097,0.000996097,0.000996097
6,39.5648,0.84445,0.79967,1.2627,0.80875,0.73856,0.8128,0.57856,1.08587,1.43121,1.66549,0.000993906,0.000993906,0.000993906
7,45.0725,0.80411,0.72909,1.23417,0.70362,0.73203,0.79794,0.54028,1.12087,1.58134,1.75865,0.000991232,0.000991232,0.000991232
8,50.4413,0.79025,0.71297,1.25028,0.70974,0.73856,0.78215,0.5044,1.30313,1.76914,1.82513,0.000988079,0.000988079,0.000988079
9,55.7492,0.85515,0.74036,1.27012,0.81321,0.82518,0.88619,0.59798,1.26217,1.19515,1.86481,0.000984449,0.000984449,0.000984449
10,61.2336,0.76858,0.67864,1.23062,0.83897,0.7151,0.82539,0.57633,1.05027,1.35478,1.39036,0.000980345,0.000980345,0.000980345
11,66.5209,0.75494,0.66155,1.2137,0.87974,0.86275,0.88602,0.64139,1.00814,0.87068,1.4962,0.000975773,0.000975773,0.000975773
12,71.8042,0.76637,0.67497,1.24076,0.89076,0.85275,0.91356,0.62991,1.0433,0.78777,1.49874,0.000970736,0.000970736,0.000970736
13,76.9429,0.75073,0.63593,1.19322,0.84594,0.86928,0.89349,0.67345,0.94025,0.79175,1.36204,0.000965239,0.000965239,0.000965239
14,82.0762,0.72305,0.61267,1.20823,0.85855,0.91503,0.90879,0.64294,1.02985,0.85789,1.42946,0.000959289,0.000959289,0.000959289
15,87.5504,0.73902,0.59081,1.1973,0.86955,0.87138,0.9111,0.67822,0.91364,0.86334,1.29348,0.000952889,0.000952889,0.000952889
16,92.7958,0.70986,0.5847,1.1595,0.89378,0.89542,0.91972,0.66479,1.02132,0.77327,1.43422,0.000946048,0.000946048,0.000946048
17,98.0671,0.73774,0.58588,1.18289,0.91265,0.8366,0.92012,0.68905,0.98445,0.74844,1.37603,0.000938772,0.000938772,0.000938772
18,103.468,0.72318,0.57145,1.17539,0.94998,0.8689,0.94197,0.69888,0.98641,0.77596,1.3542,0.000931067,0.000931067,0.000931067
19,108.777,0.72078,0.56421,1.15881,0.9613,0.84314,0.93149,0.70571,0.95142,0.81756,1.34703,0.000922942,0.000922942,0.000922942
20,114.311,0.65502,0.52964,1.16643,0.88922,0.83941,0.9122,0.70088,0.84757,0.68086,1.19653,0.000914405,0.000914405,0.000914405
21,119.462,0.65883,0.53256,1.16822,0.82109,0.9085,0.90687,0.67929,0.87763,0.74538,1.2544,0.000905463,0.000905463,0.000905463
22,124.698,0.65388,0.53652,1.15337,0.94463,0.89203,0.92942,0.71153,0.96518,0.91405,1.33712,0.000896127,0.000896127,0.000896127
23,129.858,0.6796,0.54157,1.14692,0.8914,0.85836,0.9036,0.68685,0.94637,0.77721,1.27129,0.000886404,0.000886404,0.000886404
24,135.06,0.64539,0.5301,1.15801,0.91746,0.87178,0.91651,0.71827,0.90352,0.74893,1.27122,0.000876305,0.000876305,0.000876305
25,140.451,0.65253,0.51545,1.13166,0.92556,0.89391,0.94513,0.71839,0.82329,0.81798,1.18583,0.000865839,0.000865839,0.000865839
26,145.682,0.67596,0.49869,1.14238,0.82472,0.89181,0.91107,0.71354,0.8056,0.72138,1.19602,0.000855018,0.000855018,0.000855018
27,150.78,0.69573,0.52979,1.15141,0.92651,0.88889,0.92207,0.69912,0.8539,0.75237,1.21629,0.000843851,0.000843851,0.000843851
28,156.336,0.67612,0.52337,1.11673,0.94973,0.86928,0.93475,0.71031,0.83995,0.65876,1.20047,0.000832349,0.000832349,0.000832349
29,162.402,0.65387,0.48969,1.13577,0.87299,0.85621,0.91678,0.6988,0.8136,0.67184,1.18791,0.000820525,0.000820525,0.000820525
30,167.901,0.62628,0.48447,1.14564,0.88763,0.92929,0.93623,0.73331,0.88618,0.61578,1.32577,0.000808389,0.000808389,0.000808389
31,173.12,0.62197,0.47898,1.13064,0.89599,0.90084,0.92545,0.70374,0.89849,0.77199,1.27164,0.000795954,0.000795954,0.000795954
32,178.264,0.65425,0.47485,1.11868,0.8865,0.88235,0.92453,0.70782,0.85817,0.68892,1.18521,0.000783231,0.000783231,0.000783231
33,183.496,0.60952,0.46114,1.1172,0.89683,0.90902,0.93511,0.72383,0.86336,0.61874,1.2076,0.000770234,0.000770234,0.000770234
34,189.573,0.59886,0.45559,1.0958,0.92544,0.9085,0.94254,0.74165,0.76205,0.57886,1.1659,0.000756976,0.000756976,0.000756976
35,195.806,0.59781,0.43693,1.1099,0.94619,0.91944,0.94966,0.74084,0.83696,0.54939,1.2375,0.000743468,0.000743468,0.000743468
36,201.646,0.62753,0.47471,1.09612,0.93145,0.8881,0.93901,0.74041,0.75097,0.58011,1.13293,0.000729725,0.000729725,0.000729725
37,207.153,0.62448,0.45471,1.13124,0.90855,0.93464,0.95163,0.77568,0.72466,0.51257,1.11546,0.000715761,0.000715761,0.000715761
38,213.07,0.6009,0.4446,1.08551,0.93216,0.88235,0.9331,0.74678,0.77613,0.58057,1.13931,0.000701588,0.000701588,0.000701588
39,218.888,0.59704,0.44444,1.09807,0.94098,0.87582,0.93061,0.73503,0.79697,0.63876,1.17887,0.000687222,0.000687222,0.000687222
40,224.891,0.58377,0.45282,1.10403,0.93363,0.90196,0.94521,0.75847,0.75728,0.55795,1.10781,0.000672675,0.000672675,0.000672675
41,230.568,0.59725,0.43012,1.07279,0.95719,0.87693,0.94616,0.75434,0.74242,0.5403,1.12088,0.000657963,0.000657963,0.000657963
42,236.157,0.57767,0.4241,1.07474,0.93349,0.91736,0.95293,0.75437,0.71867,0.5267,1.10387,0.000643101,0.000643101,0.000643101
43,241.638,0.59458,0.43543,1.08405,0.93935,0.94118,0.96286,0.77985,0.7542,0.49258,1.14575,0.000628101,0.000628101,0.000628101
44,247.43,0.55502,0.39805,1.07801,0.92219,0.92957,0.95554,0.76577,0.79978,0.574,1.2166,0.000612981,0.000612981,0.000612981
45,253.164,0.57286,0.40874,1.08204,0.95856,0.90718,0.95832,0.76104,0.79851,0.52131,1.19202,0.000597754,0.000597754,0.000597754
46,258.895,0.57197,0.43148,1.07907,0.94585,0.91335,0.95483,0.74691,0.80235,0.51262,1.19945,0.000582435,0.000582435,0.000582435
47,264.486,0.59195,0.42352,1.08264,0.94382,0.90196,0.93312,0.75239,0.80428,0.56688,1.21149,0.00056704,0.00056704,0.00056704
48,269.755,0.55674,0.40644,1.07181,0.97221,0.91477,0.95716,0.7687,0.78037,0.48183,1.20133,0.000551584,0.000551584,0.000551584
49,275.714,0.55475,0.40298,1.07604,0.97108,0.89542,0.96055,0.78507,0.7038,0.49705,1.09896,0.000536081,0.000536081,0.000536081
50,281.641,0.54498,0.39077,1.06456,0.96811,0.87582,0.94003,0.77764,0.70182,0.52119,1.1178,0.000520548,0.000520548,0.000520548
51,287.256,0.54053,0.39266,1.07711,0.92515,0.94771,0.9554,0.74414,0.76026,0.52311,1.13941,0.000505,0.000505,0.000505
52,292.837,0.56363,0.40033,1.05556,0.96187,0.90196,0.95629,0.76996,0.76155,0.47866,1.15069,0.000489452,0.000489452,0.000489452
53,298.245,0.52496,0.38007,1.06626,0.95871,0.88889,0.95542,0.77116,0.80637,0.48262,1.18393,0.000473919,0.000473919,0.000473919
54,303.938,0.57646,0.40642,1.05226,0.95771,0.88813,0.95016,0.76648,0.76842,0.4973,1.17473,0.000458416,0.000458416,0.000458416
55,309.561,0.53295,0.37713,1.05795,0.92578,0.89678,0.95547,0.77846,0.71955,0.4806,1.13341,0.00044296,0.00044296,0.00044296
56,315.131,0.5431,0.38338,1.06965,0.97268,0.87582,0.96186,0.78632,0.7134,0.47618,1.1003,0.000427565,0.000427565,0.000427565
57,320.522,0.51939,0.37203,1.06585,0.97827,0.91503,0.96098,0.7909,0.75667,0.48958,1.15935,0.000412246,0.000412246,0.000412246
58,326.177,0.5321,0.36624,1.05954,0.97615,0.9281,0.96098,0.78715,0.69624,0.46076,1.09183,0.000397019,0.000397019,0.000397019
59,332.06,0.50352,0.3596,1.05749,0.95874,0.9085,0.96047,0.78585,0.76977,0.46444,1.13737,0.000381899,0.000381899,0.000381899
60,337.572,0.5212,0.35417,1.027,0.95153,0.9085,0.95548,0.77228,0.76419,0.51322,1.12914,0.000366899,0.000366899,0.000366899
61,343.104,0.50879,0.34383,1.04211,0.96574,0.92112,0.96317,0.77849,0.70869,0.45393,1.09719,0.000352037,0.000352037,0.000352037
62,348.851,0.49526,0.35234,1.03273,0.95407,0.9504,0.9674,0.77909,0.70352,0.48771,1.08036,0.000337325,0.000337325,0.000337325
63,354.407,0.52523,0.35176,1.05081,0.9727,0.93159,0.96928,0.78302,0.74792,0.46987,1.11648,0.000322778,0.000322778,0.000322778
64,360.36,0.50761,0.34812,1.02463,0.96715,0.9281,0.96591,0.79079,0.67716,0.44853,1.06176,0.000308412,0.000308412,0.000308412
65,366.266,0.49385,0.34537,1.03154,0.94553,0.94771,0.96369,0.7925,0.69614,0.44575,1.07524,0.000294239,0.000294239,0.000294239
66,372.061,0.48041,0.33133,1.02801,0.9588,0.91252,0.95962,0.77214,0.71885,0.45566,1.10239,0.000280275,0.000280275,0.000280275
67,377.926,0.49295,0.33289,1.0444,0.97219,0.91384,0.96069,0.77713,0.72976,0.45425,1.11998,0.000266532,0.000266532,0.000266532
68,383.772,0.49306,0.33469,1.0163,0.97107,0.9085,0.95629,0.78249,0.75845,0.47893,1.1307,0.000253024,0.000253024,0.000253024
69,389.774,0.5182,0.37194,1.03737,0.9687,0.88889,0.94671,0.78614,0.69722,0.4651,1.10221,0.000239766,0.000239766,0.000239766
70,395.488,0.49798,0.33757,1.03714,0.93978,0.91802,0.948,0.7925,0.69537,0.46028,1.10324,0.000226769,0.000226769,0.000226769
71,401.272,0.47828,0.32567,1.0134,0.95285,0.9247,0.94893,0.78723,0.72412,0.46035,1.09401,0.000214046,0.000214046,0.000214046
72,407.112,0.48826,0.32425,1.00961,0.96179,0.93464,0.95731,0.79776,0.72918,0.45671,1.10542,0.000201611,0.000201611,0.000201611
73,412.809,0.47645,0.32855,1.01816,0.95102,0.93464,0.96008,0.80189,0.68358,0.45274,1.08181,0.000189475,0.000189475,0.000189475
74,418.766,0.46022,0.31073,1.00777,0.97943,0.93349,0.95907,0.80488,0.69717,0.43368,1.08504,0.000177651,0.000177651,0.000177651
75,424.513,0.4762,0.32227,1.01346,0.97235,0.91929,0.96051,0.78948,0.71749,0.44473,1.07403,0.000166149,0.000166149,0.000166149
76,430.4,0.4703,0.3197,0.99889,0.95933,0.92496,0.96131,0.79796,0.6805,0.43649,1.04868,0.000154982,0.000154982,0.000154982
77,436.396,0.47953,0.31722,1.01597,0.94959,0.94118,0.96085,0.7987,0.66741,0.42497,1.04739,0.000144161,0.000144161,0.000144161
78,442.152,0.46183,0.3138,1.01228,0.9555,0.92157,0.95579,0.78947,0.68158,0.43985,1.07127,0.000133695,0.000133695,0.000133695
79,448.031,0.45021,0.31161,1.00791,0.95921,0.9085,0.9533,0.79204,0.71366,0.44831,1.09362,0.000123596,0.000123596,0.000123596
80,453.742,0.47402,0.31834,1.01034,0.93939,0.91175,0.95318,0.79232,0.71577,0.44859,1.08564,0.000113873,0.000113873,0.000113873
81,459.428,0.42756,0.29735,1.00823,0.97159,0.89408,0.95231,0.79945,0.69153,0.44788,1.06544,0.000104537,0.000104537,0.000104537
82,465.301,0.46681,0.30399,1.00422,0.94971,0.9281,0.95448,0.79963,0.67519,0.44277,1.05629,9.55951e-05,9.55951e-05,9.55951e-05
83,470.89,0.45219,0.31296,0.99966,0.94742,0.9422,0.95528,0.79913,0.67551,0.44283,1.04872,8.70577e-05,8.70577e-05,8.70577e-05
84,476.823,0.48063,0.31271,1.01576,0.96296,0.91503,0.95375,0.79698,0.70874,0.43331,1.06359,7.89327e-05,7.89327e-05,7.89327e-05
85,482.427,0.4438,0.30347,0.98691,0.95314,0.93065,0.95308,0.79338,0.70581,0.42932,1.06709,7.12282e-05,7.12282e-05,7.12282e-05
86,488.052,0.42175,0.29519,1.00101,0.96617,0.93464,0.95323,0.79968,0.68574,0.42334,1.05037,6.39518e-05,6.39518e-05,6.39518e-05
87,493.769,0.42548,0.29131,1.00234,0.95262,0.91985,0.95088,0.79663,0.67467,0.4282,1.04982,5.71106e-05,5.71106e-05,5.71106e-05
88,499.43,0.44328,0.30177,1.00322,0.95191,0.92157,0.95275,0.79779,0.68742,0.4216,1.0609,5.07115e-05,5.07115e-05,5.07115e-05
